Textbox12
29/05/2025

Caption1,StockTypeName1,TotDiaWt2,RepairReceiveAmt1,PurchaseValue1,Textbox20
Alphaa Ventures-ALM,APPROVAL,138.932,115.00,"158,548.34",138.932
Alphaa Ventures-ALM,CUSTOMER ORDER,0.234,115.00,"158,548.34",0.234
Alphaa Ventures-ALM,STOCK ORDER,6.686,115.00,"158,548.34",6.686

Textbox4,Caption,Stylecode,InwardDate,Textbox15,Jewelcode,StockTypeName,SubItmName,TotDiaPc,TotDiaWt,GrossWt,RepairReceiveAmt,PurchaseValue
44,Alphaa Ventures-ALM,W-DR0000216,4/29/2025,30,162066,APPROVAL,STUD DROPS,78,0.652,4.28,,
45,Alphaa Ventures-ALM,W-DR0000217,4/29/2025,30,162064,APPROVAL,STUD DROPS,92,0.692,5.25,,
46,Alphaa Ventures-ALM,W-DR0000236,4/29/2025,30,162067,APPROVAL,STUD DROPS,42,0.656,4.75,,
47,Alphaa Ventures-ALM,W-DR0000239,4/29/2025,30,162065,APPROVAL,STUD DROPS,54,0.746,5.30,,
48,Alphaa Ventures-ALM,W-DR0000249,4/29/2025,30,162068,APPROVAL,STUD DROPS,28,0.566,2.67,,
49,Alphaa Ventures-ALM,W-DR0000277,4/29/2025,30,162069,APPROVAL,STUD DROPS,28,0.545,3.64,,
50,Alphaa Ventures-ALM,W-DR0000281,4/29/2025,30,162209,APPROVAL,STUD DROPS,28,0.426,4.28,,
51,Alphaa Ventures-ALM,W-DR0000283-A,4/29/2025,30,162070,APPROVAL,STUD DROPS,74,0.648,7.51,,
52,Alphaa Ventures-ALM,W-DR0000284,4/29/2025,30,162206,APPROVAL,STUD DROPS,40,0.383,4.33,,
53,Alphaa Ventures-ALM,W-DR0000291,4/29/2025,30,162208,APPROVAL,STUD DROPS,42,0.422,4.73,,
54,Alphaa Ventures-ALM,W-DR0000300,4/29/2025,30,162205,APPROVAL,STUD DROPS,20,0.303,3.03,,
55,Alphaa Ventures-ALM,W-DR0000302,4/29/2025,30,162071,APPROVAL,STUD DROPS,36,0.769,6.78,,
56,Alphaa Ventures-ALM,W-DR0000304,4/29/2025,30,162207,APPROVAL,STUD DROPS,46,0.424,3.28,,
57,Alphaa Ventures-ALM,W-DR0000306,4/29/2025,30,162048,APPROVAL,STUD DROPS,12,0.108,2.63,,
58,Alphaa Ventures-ALM,W-DR0000324,4/29/2025,30,162109,APPROVAL,STUD DROPS,112,0.903,6.07,,
59,Alphaa Ventures-ALM,W-DR0000349,4/29/2025,30,162173,APPROVAL,STUD DROPS,58,0.475,3.36,,
60,Alphaa Ventures-ALM,W-DR0000400,4/29/2025,30,161577,APPROVAL,STUD DROPS,128,0.815,5.14,,
61,Alphaa Ventures-ALM,W-DR0000416,4/29/2025,30,161576,APPROVAL,STUD DROPS,32,0.275,4.45,,
62,Alphaa Ventures-ALM,W-DR0000417,4/29/2025,30,162152,APPROVAL,STUD DROPS,36,0.455,3.11,,
63,Alphaa Ventures-ALM,W-DR0000418,4/29/2025,30,162149,APPROVAL,STUD DROPS,14,0.296,1.87,,
64,Alphaa Ventures-ALM,W-DR0000423,4/29/2025,30,162151,APPROVAL,STUD DROPS,50,0.460,3.86,,
65,Alphaa Ventures-ALM,W-DR0000425,4/29/2025,30,161575,APPROVAL,STUD DROPS,62,0.821,5.26,,
66,Alphaa Ventures-ALM,W-DR0000446,4/29/2025,30,162113,APPROVAL,STUD DROPS,54,0.619,5.08,,
67,Alphaa Ventures-ALM,W-DR0000455,4/29/2025,30,162150,APPROVAL,STUD DROPS,42,0.502,3.80,,
68,Alphaa Ventures-ALM,W-JI0000019,4/29/2025,30,161538,APPROVAL,JIMMIKI STUD,62,1.027,4.20,,
69,Alphaa Ventures-ALM,W-JI0000037,4/29/2025,30,161539,APPROVAL,JIMMIKI STUD,132,1.732,7.94,,
70,Alphaa Ventures-ALM,W-JI0000059,4/29/2025,30,161536,APPROVAL,JIMMIKI STUD,110,1.073,4.27,,
71,Alphaa Ventures-ALM,W-JI0000071,4/29/2025,30,161535,APPROVAL,JIMMIKI STUD,92,0.732,5.07,,
72,Alphaa Ventures-ALM,W-JI0000081,4/29/2025,30,161533,APPROVAL,JIMMIKI STUD,48,0.799,3.63,,
73,Alphaa Ventures-ALM,W-JI0000082,4/29/2025,30,161534,APPROVAL,JIMMIKI STUD,50,0.451,2.30,,
74,Alphaa Ventures-ALM,W-MU0000046-A,4/29/2025,30,161444,APPROVAL,MUGAPPU,220,1.629,11.27,,
75,Alphaa Ventures-ALM,W-MU0000050,4/29/2025,30,161445,APPROVAL,MUGAPPU,140,1.204,7.11,,
76,Alphaa Ventures-ALM,W-NE0000230,4/29/2025,30,161566,APPROVAL,SHORT NECKLACE,112,1.038,5.44,,
77,Alphaa Ventures-ALM,W-NE0000230,4/29/2025,30,163446,APPROVAL,BACKCHAIN,0,0.000,14.27,,
78,Alphaa Ventures-ALM,W-NE0000334,4/29/2025,30,161570,APPROVAL,SHORT NECKLACE,324,3.981,22.22,,
79,Alphaa Ventures-ALM,W-NE0000334,4/29/2025,30,163154,APPROVAL,BACKCHAIN,0,0.000,5.55,,
80,Alphaa Ventures-ALM,W-NE0000362,4/29/2025,30,161565,APPROVAL,SHORT NECKLACE,152,1.146,7.84,,
81,Alphaa Ventures-ALM,W-NE0000362,4/29/2025,30,163529,APPROVAL,BACKCHAIN,0,0.000,4.76,,
82,Alphaa Ventures-ALM,W-NE0000390,4/29/2025,30,161569,APPROVAL,SHORT NECKLACE,364,2.735,16.70,,
83,Alphaa Ventures-ALM,W-NE0000390,4/29/2025,30,163450,APPROVAL,BACKCHAIN,0,0.000,4.59,,
84,Alphaa Ventures-ALM,W-NE0000404,4/29/2025,30,161567,APPROVAL,SHORT NECKLACE,170,1.344,14.68,,
85,Alphaa Ventures-ALM,W-NE0000404,4/29/2025,30,163445,APPROVAL,BACKCHAIN,0,0.000,4.47,,
86,Alphaa Ventures-ALM,W-NT0000014,4/29/2025,30,161449,APPROVAL,NOSETOP,1,0.050,0.32,,
87,Alphaa Ventures-ALM,W-NT0000015,4/29/2025,30,161450,APPROVAL,NOSETOP,1,0.142,0.49,,
88,Alphaa Ventures-ALM,W-NT0000015,4/29/2025,30,161451,APPROVAL,NOSETOP,1,0.138,0.50,,
89,Alphaa Ventures-ALM,W-NT0000016,4/29/2025,30,161452,APPROVAL,NOSETOP,1,0.168,0.54,,
90,Alphaa Ventures-ALM,W-NT0000016,4/29/2025,30,161453,APPROVAL,NOSETOP,1,0.160,0.57,,
91,Alphaa Ventures-ALM,W-NT0000017,4/29/2025,30,161454,APPROVAL,NOSETOP,1,0.196,0.47,,
92,Alphaa Ventures-ALM,W-NT0000017,4/29/2025,30,161455,APPROVAL,NOSETOP,1,0.182,0.50,,
93,Alphaa Ventures-ALM,W-NT0000018,4/29/2025,30,161456,APPROVAL,NOSETOP,1,0.250,0.59,,
94,Alphaa Ventures-ALM,W-NT0000018,4/29/2025,30,161457,APPROVAL,NOSETOP,1,0.240,0.60,,
95,Alphaa Ventures-ALM,W-NT0000022,4/29/2025,30,161473,APPROVAL,NOSETOP,12,0.148,0.60,,
96,Alphaa Ventures-ALM,W-NT0000035,4/29/2025,30,161458,APPROVAL,NOSETOP,1,0.104,0.51,,
97,Alphaa Ventures-ALM,W-NT0000035,4/29/2025,30,161459,APPROVAL,NOSETOP,1,0.111,0.50,,
98,Alphaa Ventures-ALM,W-NT0000038,4/29/2025,30,161476,APPROVAL,NOSETOP,7,0.080,0.57,,
99,Alphaa Ventures-ALM,W-NT0000059-C,4/29/2025,30,161480,APPROVAL,NOSETOP,1,0.203,0.41,,
100,Alphaa Ventures-ALM,W-NT0000059-C,4/29/2025,30,161481,APPROVAL,NOSETOP,1,0.206,0.43,,
101,Alphaa Ventures-ALM,W-NT0000070,4/29/2025,30,161478,APPROVAL,NOSETOP,8,0.178,1.00,,
102,Alphaa Ventures-ALM,W-NT0000075,4/29/2025,30,161466,APPROVAL,NOSETOP,9,0.244,0.85,,
103,Alphaa Ventures-ALM,W-NT0000095,4/29/2025,30,161479,APPROVAL,NOSETOP,5,0.760,2.59,,
104,Alphaa Ventures-ALM,W-NT0000116,4/29/2025,30,161470,APPROVAL,NOSETOP,5,0.079,0.68,,
105,Alphaa Ventures-ALM,W-PD0000214,4/29/2025,30,161818,APPROVAL,PENDENT,1,0.022,0.64,,
106,Alphaa Ventures-ALM,W-PD0000230,4/29/2025,30,161817,APPROVAL,PENDENT,10,0.165,0.83,,
107,Alphaa Ventures-ALM,W-PD0000231,4/29/2025,30,161827,APPROVAL,PENDENT,5,0.074,0.58,,
108,Alphaa Ventures-ALM,W-PD0000232,4/29/2025,30,161826,APPROVAL,PENDENT,11,0.174,1.11,,
109,Alphaa Ventures-ALM,W-PD0000346,4/29/2025,30,161824,APPROVAL,PENDENT,7,0.258,1.91,,
110,Alphaa Ventures-ALM,W-PD0000365,4/29/2025,30,161823,APPROVAL,PENDENT,18,0.188,0.98,,
111,Alphaa Ventures-ALM,W-PD0000383,4/29/2025,30,161822,APPROVAL,PENDENT,1,0.064,0.84,,
112,Alphaa Ventures-ALM,W-PD0000384,4/29/2025,30,161821,APPROVAL,PENDENT,2,0.096,1.09,,
113,Alphaa Ventures-ALM,W-PD0000434,4/29/2025,30,161819,APPROVAL,PENDENT,6,0.120,0.68,,
114,Alphaa Ventures-ALM,W-PD0000632,4/29/2025,30,161836,APPROVAL,PENDENT,15,0.158,1.42,,
115,Alphaa Ventures-ALM,W-PD0000677-B,4/29/2025,30,161840,APPROVAL,PENDENT,110,1.032,5.75,,
116,Alphaa Ventures-ALM,W-PD0000712,4/29/2025,30,161838,APPROVAL,PENDENT,8,0.900,4.68,,
117,Alphaa Ventures-ALM,W-PD0000726,4/29/2025,30,161833,APPROVAL,PENDENT,10,0.229,2.14,,
118,Alphaa Ventures-ALM,W-PD0000730,4/29/2025,30,161832,APPROVAL,PENDENT,14,0.098,1.65,,
119,Alphaa Ventures-ALM,W-PD0000757,4/29/2025,30,161831,APPROVAL,PENDENT,9,0.087,1.63,,
120,Alphaa Ventures-ALM,W-PD0000786,4/29/2025,30,161810,APPROVAL,PENDENT,45,0.670,3.66,,
121,Alphaa Ventures-ALM,W-PD0000798,4/29/2025,30,161830,APPROVAL,PENDENT,16,0.179,1.40,,
122,Alphaa Ventures-ALM,W-PD0000800,4/29/2025,30,161829,APPROVAL,PENDENT,10,0.118,0.96,,
123,Alphaa Ventures-ALM,W-PD0000812,4/29/2025,30,161968,APPROVAL,PENDENT,20,0.370,1.66,,
124,Alphaa Ventures-ALM,W-PD0000822,4/29/2025,30,161814,APPROVAL,PENDENT,160,1.335,9.08,,
125,Alphaa Ventures-ALM,W-PD0000844,4/29/2025,30,161808,APPROVAL,PENDENT,42,0.560,1.73,,
126,Alphaa Ventures-ALM,W-PD0000845,4/29/2025,30,161813,APPROVAL,PENDENT,61,1.529,2.53,,
127,Alphaa Ventures-ALM,W-PD0000846,4/29/2025,30,161969,APPROVAL,PENDENT,49,0.382,2.22,,
128,Alphaa Ventures-ALM,W-PD0000847,4/29/2025,30,161967,APPROVAL,PENDENT,65,0.576,1.84,,
129,Alphaa Ventures-ALM,W-PD0000852,4/29/2025,30,161966,APPROVAL,PENDENT,14,0.239,1.57,,
130,Alphaa Ventures-ALM,W-PD0000853,4/29/2025,30,161963,APPROVAL,PENDENT,9,0.126,1.07,,
131,Alphaa Ventures-ALM,W-PD0000854,4/29/2025,30,161965,APPROVAL,PENDENT,45,0.464,4.07,,
132,Alphaa Ventures-ALM,W-PD0000876,4/29/2025,30,161964,APPROVAL,PENDENT,28,0.210,1.55,,
133,Alphaa Ventures-ALM,W-PD0000883,4/29/2025,30,161960,APPROVAL,PENDENT,28,0.359,1.12,,
134,Alphaa Ventures-ALM,W-PD0000896,4/29/2025,30,161957,APPROVAL,PENDENT,2,0.578,2.75,,
135,Alphaa Ventures-ALM,W-PD0000909,4/29/2025,30,161959,APPROVAL,PENDENT,22,0.201,1.92,,
136,Alphaa Ventures-ALM,W-PD0000922,4/29/2025,30,161956,APPROVAL,PENDENT,14,0.231,1.44,,
137,Alphaa Ventures-ALM,W-PD0000928,4/29/2025,30,161958,APPROVAL,PENDENT,24,0.186,1.43,,
138,Alphaa Ventures-ALM,W-PD0000942,4/29/2025,30,161812,APPROVAL,PENDENT,190,1.498,6.42,,
139,Alphaa Ventures-ALM,W-PD0000944,4/29/2025,30,161807,APPROVAL,PENDENT,45,0.377,3.45,,
140,Alphaa Ventures-ALM,W-PD0000949,4/29/2025,30,161955,APPROVAL,PENDENT,45,0.765,3.07,,
141,Alphaa Ventures-ALM,W-PD0000963,4/29/2025,30,161811,APPROVAL,PENDENT,60,1.088,4.46,,
142,Alphaa Ventures-ALM,W-PD0001024,4/29/2025,30,161815,APPROVAL,PENDENT,134,2.115,8.03,,
143,Alphaa Ventures-ALM,W-RI0000071,4/29/2025,30,161742,APPROVAL,LADIES RING,9,0.592,1.37,,
144,Alphaa Ventures-ALM,W-RI0000072,4/29/2025,30,161762,APPROVAL,LADIES RING,13,0.322,1.40,,
145,Alphaa Ventures-ALM,W-RI0000078,4/29/2025,30,161741,APPROVAL,LADIES RING,51,0.778,6.07,,
146,Alphaa Ventures-ALM,W-RI0000569,4/29/2025,30,161727,APPROVAL,LADIES RING,22,0.493,2.70,,
147,Alphaa Ventures-ALM,W-RI0000680,4/29/2025,30,161746,APPROVAL,LADIES RING,10,0.115,1.90,,
148,Alphaa Ventures-ALM,W-RI0000711,4/29/2025,30,161761,APPROVAL,LADIES RING,32,0.322,3.26,,
149,Alphaa Ventures-ALM,W-RI0000763,4/29/2025,30,161728,APPROVAL,GENTS RING,7,0.284,4.92,,
150,Alphaa Ventures-ALM,W-RI0000786,4/29/2025,30,161745,APPROVAL,LADIES RING,18,0.196,2.02,,
151,Alphaa Ventures-ALM,W-RI0000788,4/29/2025,30,161758,APPROVAL,LADIES RING,8,0.106,1.40,,
152,Alphaa Ventures-ALM,W-RI0000790,4/29/2025,30,161736,APPROVAL,GENTS RING,1,0.145,4.58,,
153,Alphaa Ventures-ALM,W-RI0000795,4/29/2025,30,161757,APPROVAL,LADIES RING,12,0.085,2.58,,
