Textbox12
29/05/2025

Caption1,StockTypeName1,TotDiaWt2,RepairReceiveAmt1,PurchaseValue1,Textbox20
Alphaa Ventures-ALM,APPROVAL,138.932,115.00,"158,548.34",138.932
Alphaa Ventures-ALM,CUSTOMER ORDER,0.234,115.00,"158,548.34",0.234
Alphaa Ventures-ALM,STOCK ORDER,6.686,115.00,"158,548.34",6.686

Textbox4,Caption,Stylecode,InwardDate,Textbox15,Jewelcode,StockTypeName,SubItmName,TotDiaPc,TotDiaWt,GrossWt,RepairReceiveAmt,PurchaseValue
207,Alphaa Ventures-ALM,W-SI0000074,4/29/2025,30,162037,APPROVAL,SIDE STUD,2,0.124,1.71,,
208,Alphaa Ventures-ALM,W-SI0000079,4/29/2025,30,162036,APPROVAL,SIDE STUD,2,0.097,1.22,,
209,Alphaa Ventures-ALM,W-SI0000094,4/29/2025,30,162033,APPROVAL,SIDE STUD,6,0.093,0.71,,
210,Alphaa Ventures-ALM,W-SI0000095,4/29/2025,30,162034,APPROVAL,SIDE STUD,8,0.106,0.62,,
211,Alphaa Ventures-ALM,W-SI0000096,4/29/2025,30,162032,APPROVAL,SIDE STUD,4,0.222,1.03,,
212,Alphaa Ventures-ALM,W-SI0000099,4/29/2025,30,162045,APPROVAL,SIDE STUD,16,0.182,1.25,,
213,Alphaa Ventures-ALM,W-SI0000101,4/29/2025,30,162044,APPROVAL,SIDE STUD,4,0.123,1.02,,
214,Alphaa Ventures-ALM,W-SI0000103,4/29/2025,30,162043,APPROVAL,SIDE STUD,8,0.216,1.32,,
215,Alphaa Ventures-ALM,W-SI0000120,4/29/2025,30,162051,APPROVAL,SIDE STUD,10,0.106,1.03,,
216,Alphaa Ventures-ALM,W-SI0000121,4/29/2025,30,162058,APPROVAL,SIDE STUD,10,0.089,0.96,,
217,Alphaa Ventures-ALM,W-SI0000123,4/29/2025,30,162049,APPROVAL,SIDE STUD,2,0.132,1.06,,
218,Alphaa Ventures-ALM,W-ST0000172,4/29/2025,30,162014,APPROVAL,BABY STUDS,14,0.232,1.41,,
219,Alphaa Ventures-ALM,W-ST0000192,4/29/2025,30,162012,APPROVAL,STUD,12,0.198,4.31,,
220,Alphaa Ventures-ALM,W-ST0000195,4/29/2025,30,162022,APPROVAL,STUD,2,0.240,1.29,,
221,Alphaa Ventures-ALM,W-ST0000200,4/29/2025,30,161994,APPROVAL,STUD,14,1.436,4.97,,
222,Alphaa Ventures-ALM,W-ST0000250,4/29/2025,30,162114,APPROVAL,STUD,60,0.638,6.06,,
223,Alphaa Ventures-ALM,W-ST0000363,4/29/2025,30,162164,APPROVAL,STUD,6,0.258,1.46,,
224,Alphaa Ventures-ALM,W-ST0000384,4/29/2025,30,162115,APPROVAL,STUD,18,0.596,3.22,,
225,Alphaa Ventures-ALM,W-ST0000709,4/29/2025,30,162116,APPROVAL,STUD,10,0.505,1.42,,
226,Alphaa Ventures-ALM,W-ST0000813,4/29/2025,30,162161,APPROVAL,STUD,34,0.520,3.30,,
227,Alphaa Ventures-ALM,W-ST0000822-F,4/29/2025,30,161542,APPROVAL,SOLITAIRE STUD,2,1.420,1.95,,
228,Alphaa Ventures-ALM,W-ST0000822-H,4/29/2025,30,161540,APPROVAL,SOLITAIRE STUD,2,1.004,1.17,,
229,Alphaa Ventures-ALM,W-ST0000824,4/29/2025,30,161992,APPROVAL,STUD,26,0.982,6.65,,
230,Alphaa Ventures-ALM,W-ST0000865,4/29/2025,30,162020,APPROVAL,BABY STUDS,2,0.055,0.88,,
231,Alphaa Ventures-ALM,W-ST0000884,4/29/2025,30,162163,APPROVAL,BABY STUDS,20,0.325,3.26,,
232,Alphaa Ventures-ALM,W-ST0000904,4/29/2025,30,162159,APPROVAL,STUD,10,0.356,2.00,,
233,Alphaa Ventures-ALM,W-ST0000939,4/29/2025,30,162097,APPROVAL,STUD,34,0.828,7.14,,
234,Alphaa Ventures-ALM,W-ST0000957,4/29/2025,30,162100,APPROVAL,STUD,68,0.584,6.55,,
235,Alphaa Ventures-ALM,W-ST0000987,4/29/2025,30,162098,APPROVAL,STUD,74,1.030,4.58,,
236,Alphaa Ventures-ALM,W-ST0000998,4/29/2025,30,162101,APPROVAL,STUD,46,0.579,5.13,,
237,Alphaa Ventures-ALM,W-ST0001038,4/29/2025,30,162031,APPROVAL,STUD,24,0.256,1.88,,
238,Alphaa Ventures-ALM,W-ST0001064,4/29/2025,30,162030,APPROVAL,STUD,2,0.032,2.69,,
239,Alphaa Ventures-ALM,W-ST0001069,4/29/2025,30,161574,APPROVAL,STUD,72,0.877,5.20,,
240,Alphaa Ventures-ALM,W-ST0001098,4/29/2025,30,162203,APPROVAL,STUD,22,0.295,2.35,,
241,Alphaa Ventures-ALM,W-ST0001163,4/29/2025,30,162027,APPROVAL,STUD,24,0.235,1.54,,
242,Alphaa Ventures-ALM,W-ST0001165,4/29/2025,30,162104,APPROVAL,STUD,42,0.690,3.73,,
243,Alphaa Ventures-ALM,W-ST0001178,4/29/2025,30,162107,APPROVAL,STUD,38,0.794,6.72,,
244,Alphaa Ventures-ALM,W-ST0001191,4/29/2025,30,161803,APPROVAL,STUD,8,0.920,3.34,,
245,Alphaa Ventures-ALM,W-ST0001199,4/29/2025,30,162176,APPROVAL,STUD,42,0.413,3.56,,
246,Alphaa Ventures-ALM,W-ST0001220,4/29/2025,30,162172,APPROVAL,STUD,36,0.376,2.11,,
247,Alphaa Ventures-ALM,W-ST0001223,4/29/2025,30,161802,APPROVAL,STUD,12,0.095,1.62,,
248,Alphaa Ventures-ALM,W-ST0001224,4/29/2025,30,162026,APPROVAL,STUD,12,0.140,1.19,,
249,Alphaa Ventures-ALM,W-ST0001225,4/29/2025,30,162105,APPROVAL,STUD,8,0.529,1.52,,
250,Alphaa Ventures-ALM,W-ST0001230,4/29/2025,30,162011,APPROVAL,STUD,22,0.170,2.66,,
251,Alphaa Ventures-ALM,W-ST0001239,4/29/2025,30,162010,APPROVAL,STUD,18,0.216,2.54,,
252,Alphaa Ventures-ALM,W-ST0001240,4/29/2025,30,161801,APPROVAL,STUD,14,0.146,2.22,,
253,Alphaa Ventures-ALM,W-ST0001253,4/29/2025,30,162082,APPROVAL,STUD,84,0.843,4.77,,
254,Alphaa Ventures-ALM,W-ST0001256,4/29/2025,30,162080,APPROVAL,STUD,42,0.504,3.62,,
255,Alphaa Ventures-ALM,W-ST0001278,4/29/2025,30,161798,APPROVAL,STUD,72,0.977,3.72,,
256,Alphaa Ventures-ALM,W-ST0001279,4/29/2025,30,161800,APPROVAL,STUD,58,0.556,2.83,,
257,Alphaa Ventures-ALM,W-ST0001280,4/29/2025,30,162009,APPROVAL,STUD,34,0.235,2.50,,
258,Alphaa Ventures-ALM,W-ST0001288,4/29/2025,30,162008,APPROVAL,STUD,10,0.104,1.70,,
259,Alphaa Ventures-ALM,W-ST0001291,4/29/2025,30,161799,APPROVAL,STUD,10,0.070,1.34,,
260,Alphaa Ventures-ALM,W-ST0001294,4/29/2025,30,162081,APPROVAL,STUD,28,0.820,3.32,,
261,Alphaa Ventures-ALM,W-ST0001296,4/29/2025,30,162007,APPROVAL,STUD,20,0.198,1.96,,
262,Alphaa Ventures-ALM,W-ST0001297,4/29/2025,30,162170,APPROVAL,STUD,26,0.511,3.07,,
263,Alphaa Ventures-ALM,W-ST0001300,4/29/2025,30,161573,APPROVAL,STUD,32,0.252,2.48,,
264,Alphaa Ventures-ALM,W-ST0001306,4/29/2025,30,162091,APPROVAL,STUD,70,0.689,6.34,,
265,Alphaa Ventures-ALM,W-ST0001312,4/29/2025,30,161791,APPROVAL,STUD,96,0.718,7.44,,
266,Alphaa Ventures-ALM,W-ST0001318,4/29/2025,30,162092,APPROVAL,STUD,18,0.806,2.36,,
267,Alphaa Ventures-ALM,W-ST0001325,4/29/2025,30,161795,APPROVAL,STUD,16,0.893,4.00,,
268,Alphaa Ventures-ALM,W-ST0001359,4/29/2025,30,162195,APPROVAL,STUD,28,0.344,2.91,,
269,Alphaa Ventures-ALM,W-ST0001360,4/29/2025,30,162192,APPROVAL,STUD,8,0.270,2.80,,
270,Alphaa Ventures-ALM,W-ST0001368,4/29/2025,30,161794,APPROVAL,STUD,158,2.174,8.51,,
271,Alphaa Ventures-ALM,W-ST0001385,4/29/2025,30,162085,APPROVAL,STUD,98,0.756,4.24,,
272,Alphaa Ventures-ALM,W-ST0001445,4/29/2025,30,162179,APPROVAL,STUD,26,0.488,3.15,,
273,Alphaa Ventures-ALM,W-ST0001456,4/29/2025,30,162178,APPROVAL,STUD,32,0.280,2.82,,
274,Alphaa Ventures-ALM,W-ST0001467,4/29/2025,30,162181,APPROVAL,STUD,8,0.464,1.17,,
275,Alphaa Ventures-ALM,W-ST0001474,4/29/2025,30,161793,APPROVAL,STUD,208,1.780,8.26,,
276,Alphaa Ventures-ALM,W-ST0001485,4/29/2025,30,161572,APPROVAL,STUD,120,0.997,7.23,,
277,Alphaa Ventures-ALM,W-ST0001487,4/29/2025,30,161571,APPROVAL,STUD,24,0.152,2.30,,
278,Alphaa Ventures-ALM,W-ST0001544,4/29/2025,30,162016,APPROVAL,STUD,18,0.180,1.79,,
279,Alphaa Ventures-ALM,W-ST0001566,4/29/2025,30,162188,APPROVAL,STUD,32,0.284,3.07,,
280,Alphaa Ventures-ALM,W-VA0000065,4/29/2025,30,162190,APPROVAL,VALLI STUD,36,0.478,3.61,,
281,Alphaa Ventures-ALM,W-VA0000122,4/29/2025,30,162086,APPROVAL,VALLI STUD,78,0.782,5.08,,
282,Alphaa Ventures-ALM,W-VA0000123,4/29/2025,30,162189,APPROVAL,VALLI STUD,28,0.399,4.74,,
283,Alphaa Ventures-ALM,W-VA0000153,4/29/2025,30,162186,APPROVAL,VALLI STUD,72,0.494,4.86,,
284,Alphaa Ventures-ALM,W-VA0000163,4/29/2025,30,162185,APPROVAL,VALLI STUD,2,0.508,2.66,,
285,Alphaa Ventures-ALM,W-VA0000175,4/29/2025,30,162015,APPROVAL,VALLI STUD,10,0.152,2.07,,
286,Alphaa Ventures-ALM,W-VA0000180,4/29/2025,30,162167,APPROVAL,VALLI STUD,26,0.399,2.59,,
287,Alphaa Ventures-ALM,W-VA0000183,4/29/2025,30,162087,APPROVAL,VALLI STUD,46,0.696,6.59,,
288,Alphaa Ventures-ALM,W-VA0000191,4/29/2025,30,161790,APPROVAL,VALLI STUD,58,1.617,4.73,,

